Year,Week,District,Stations,Cases
2019,25,RUPANDEHI,Bhairahawa Airport,
2019,25,SALYAN,"Salyan Bazaar_AWS, Salyan Bazar",
2019,25,SANKHUWASABHA,Num,
2019,25,SAPTARI,Rajbiraj,
2019,25,SARLAHI,Karmaiya,
2019,25,SINDHULI,Sindhuli Madhi,
2019,25,SINDHUPALCHOK,No station found in dataset,
2019,25,SIRAHA,Lahan,
2019,25,SOLUKHUMBU,No station found in dataset,
2019,25,SUNSARI,Tarahara,
2019,25,SURKHET,Surkhet Airport (Birendranagar),
2019,25,SYANGJA,Syangja,
2019,25,TANAHU,Bandipur,
2019,25,TAPLEJUNG,Taplejung,
2019,25,TERHATHUM,Terhathum,
2019,25,UDAYAPUR,Udayapur Gadhi,
2019,25,WEST,No station found in dataset,
2019,25,WEST,No station found in dataset,
2019,25,,No station found in dataset,
2019,26,ACHHAM,Mangalsen,
2019,26,ARGHAKHANCHI,No station found in dataset,
2019,26,BAGLUNG,Baglung,
2019,26,BAITADI,Patan new,
2019,26,BAJHANG,Chainpur Bajhang new aws,
2019,26,BAJURA,Bajura (Martadi),
2019,26,BANKE,Khajura (Nepalganj),
2019,26,BARA,Simara Airport,
2019,26,BARDIYA,Gulariya,
2019,26,BHAKTAPUR,Bhaktapur,
2019,26,BHOJPUR,No station found in dataset,
2019,26,CHITAWAN,No station found in dataset,
2019,26,DADELDHURA,"Dadeldhura, Dadeldhura_AWS",
2019,26,DAILEKH,Dailekh,
2019,26,DANG,Ghorai (Dang),
2019,26,DARCHULA,"Darchula New, Mahakali at Darchula (Dattu)",
2019,26,DHADING,"Dhunibesi, Dhunibesi_delete",
2019,26,DHANKUTA,No station found in dataset,
2019,26,DHANUSA,No station found in dataset,
2019,26,DOLAKHA,Charikot,
2019,26,DOLPA,Dunai,
2019,26,DOTI,Dipayal (Doti),
2019,26,EAST,No station found in dataset,
2019,26,EAST,No station found in dataset,
2019,26,GORKHA,No station found in dataset,
2019,26,GULMI,Tamghas,
2019,26,HUMLA,"Simikot, Simikot Airport",
2019,26,ILAM,"Ilam Tea Estate, Ilam Tea State_AWS",
2019,26,JAJARKOT,"Jajarkot, Jajarkot_AWS",
2019,26,JHAPA,Gaida (Kankai),
2019,26,JUMLA,Jumla,
2019,26,KAILALI,Tikapur,
2019,26,KALIKOT,"Manma, Manma_AWS",
2019,26,KANCHANPUR,Mahendra Nagar,
2019,26,KAPILBASTU,No station found in dataset,
2019,26,KASKI,Pokhara Airport,
2019,26,KATHMANDU,"Bagmati River at Sundarijal, Bagmati River at Sundarijal Bridge, Kathmandu Airport",
2019,26,KAVREPALANCHOK,No station found in dataset,
2019,26,KHOTANG,Diktel,
2019,26,LALITPUR,Khumaltar,
2019,26,LAMJUNG,Khudi Bazar,
2019,26,MAHOTTARI,Jalesor,
2019,26,MAKWANPUR,Hetauda N.F.I.,
2019,26,MANANG,Manang Bhot,
2019,26,MORANG,Biratnagar Airport,
2019,26,MUGU,Gamadi Shree Nagar,
2019,26,MUSTANG,"Jomsom, Jomsom TPB",
2019,26,MYAGDI,"Gurja Khani, Raughat Khola at Raughat",
2019,26,NUWAKOT,Nuwakot,
2019,26,OKHALDHUNGA,Okhaldhunga,
2019,26,PALPA,Tansen,
2019,26,PANCHTHAR,Phidim (Panchther),
2019,26,PARBAT,"Kali Gandaki at Modi Beni, Kushma",
2019,26,PARSA,Birganj,
2019,26,PYUTHAN,"Bijuwar Tar, Bijuwatar",
2019,26,RAMECHHAP,Manthali,
2019,26,RASUWA,Dhunche,
2019,26,ROLPA,"Libang Gaun, Liwang",
2019,26,RUPANDEHI,Bhairahawa Airport,1.0
2019,26,SALYAN,"Salyan Bazaar_AWS, Salyan Bazar",
2019,26,SANKHUWASABHA,Num,
2019,26,SAPTARI,Rajbiraj,
2019,26,SARLAHI,Karmaiya,
2019,26,SINDHULI,Sindhuli Madhi,
2019,26,SINDHUPALCHOK,No station found in dataset,
2019,26,SIRAHA,Lahan,
2019,26,SOLUKHUMBU,No station found in dataset,
2019,26,SUNSARI,Tarahara,
2019,26,SURKHET,Surkhet Airport (Birendranagar),
2019,26,SYANGJA,Syangja,
2019,26,TANAHU,Bandipur,
2019,26,TAPLEJUNG,Taplejung,
2019,26,TERHATHUM,Terhathum,
2019,26,UDAYAPUR,Udayapur Gadhi,
2019,26,WEST,No station found in dataset,
2019,26,WEST,No station found in dataset,
2019,26,,No station found in dataset,
2019,27,ACHHAM,Mangalsen,
2019,27,ARGHAKHANCHI,No station found in dataset,
2019,27,BAGLUNG,Baglung,
2019,27,BAITADI,Patan new,
2019,27,BAJHANG,Chainpur Bajhang new aws,
2019,27,BAJURA,Bajura (Martadi),
2019,27,BANKE,Khajura (Nepalganj),
2019,27,BARA,Simara Airport,
2019,27,BARDIYA,Gulariya,
2019,27,BHAKTAPUR,Bhaktapur,
2019,27,BHOJPUR,No station found in dataset,
2019,27,CHITAWAN,No station found in dataset,
2019,27,DADELDHURA,"Dadeldhura, Dadeldhura_AWS",
2019,27,DAILEKH,Dailekh,
2019,27,DANG,Ghorai (Dang),
2019,27,DARCHULA,"Darchula New, Mahakali at Darchula (Dattu)",
2019,27,DHADING,"Dhunibesi, Dhunibesi_delete",
2019,27,DHANKUTA,No station found in dataset,
2019,27,DHANUSA,No station found in dataset,
2019,27,DOLAKHA,Charikot,
2019,27,DOLPA,Dunai,
2019,27,DOTI,Dipayal (Doti),
2019,27,EAST,No station found in dataset,
2019,27,EAST,No station found in dataset,
2019,27,GORKHA,No station found in dataset,
2019,27,GULMI,Tamghas,
2019,27,HUMLA,"Simikot, Simikot Airport",
2019,27,ILAM,"Ilam Tea Estate, Ilam Tea State_AWS",
2019,27,JAJARKOT,"Jajarkot, Jajarkot_AWS",
2019,27,JHAPA,Gaida (Kankai),1.0
2019,27,JUMLA,Jumla,
2019,27,KAILALI,Tikapur,
2019,27,KALIKOT,"Manma, Manma_AWS",
2019,27,KANCHANPUR,Mahendra Nagar,
2019,27,KAPILBASTU,No station found in dataset,
2019,27,KASKI,Pokhara Airport,
2019,27,KATHMANDU,"Bagmati River at Sundarijal, Bagmati River at Sundarijal Bridge, Kathmandu Airport",2.0
2019,27,KAVREPALANCHOK,No station found in dataset,
2019,27,KHOTANG,Diktel,
2019,27,LALITPUR,Khumaltar,1.0
2019,27,LAMJUNG,Khudi Bazar,
2019,27,MAHOTTARI,Jalesor,
2019,27,MAKWANPUR,Hetauda N.F.I.,
2019,27,MANANG,Manang Bhot,
2019,27,MORANG,Biratnagar Airport,
2019,27,MUGU,Gamadi Shree Nagar,
2019,27,MUSTANG,"Jomsom, Jomsom TPB",
2019,27,MYAGDI,"Gurja Khani, Raughat Khola at Raughat",
2019,27,NUWAKOT,Nuwakot,
2019,27,OKHALDHUNGA,Okhaldhunga,
2019,27,PALPA,Tansen,
2019,27,PANCHTHAR,Phidim (Panchther),
2019,27,PARBAT,"Kali Gandaki at Modi Beni, Kushma",
2019,27,PARSA,Birganj,
2019,27,PYUTHAN,"Bijuwar Tar, Bijuwatar",
2019,27,RAMECHHAP,Manthali,
2019,27,RASUWA,Dhunche,
2019,27,ROLPA,"Libang Gaun, Liwang",
2019,27,RUPANDEHI,Bhairahawa Airport,
2019,27,SALYAN,"Salyan Bazaar_AWS, Salyan Bazar",
2019,27,SANKHUWASABHA,Num,
2019,27,SAPTARI,Rajbiraj,
2019,27,SARLAHI,Karmaiya,
2019,27,SINDHULI,Sindhuli Madhi,
2019,27,SINDHUPALCHOK,No station found in dataset,
2019,27,SIRAHA,Lahan,
2019,27,SOLUKHUMBU,No station found in dataset,
2019,27,SUNSARI,Tarahara,
2019,27,SURKHET,Surkhet Airport (Birendranagar),
2019,27,SYANGJA,Syangja,
2019,27,TANAHU,Bandipur,
2019,27,TAPLEJUNG,Taplejung,
2019,27,TERHATHUM,Terhathum,
2019,27,UDAYAPUR,Udayapur Gadhi,
2019,27,WEST,No station found in dataset,
2019,27,WEST,No station found in dataset,
2019,27,,No station found in dataset,
2019,28,ACHHAM,Mangalsen,
2019,28,ARGHAKHANCHI,No station found in dataset,
2019,28,BAGLUNG,Baglung,
2019,28,BAITADI,Patan new,
2019,28,BAJHANG,Chainpur Bajhang new aws,
2019,28,BAJURA,Bajura (Martadi),
2019,28,BANKE,Khajura (Nepalganj),
2019,28,BARA,Simara Airport,
2019,28,BARDIYA,Gulariya,
2019,28,BHAKTAPUR,Bhaktapur,
2019,28,BHOJPUR,No station found in dataset,
2019,28,CHITAWAN,No station found in dataset,
2019,28,DADELDHURA,"Dadeldhura, Dadeldhura_AWS",
2019,28,DAILEKH,Dailekh,
2019,28,DANG,Ghorai (Dang),
2019,28,DARCHULA,"Darchula New, Mahakali at Darchula (Dattu)",1.0
2019,28,DHADING,"Dhunibesi, Dhunibesi_delete",
2019,28,DHANKUTA,No station found in dataset,
2019,28,DHANUSA,No station found in dataset,
2019,28,DOLAKHA,Charikot,
2019,28,DOLPA,Dunai,
2019,28,DOTI,Dipayal (Doti),
2019,28,EAST,No station found in dataset,
2019,28,EAST,No station found in dataset,
2019,28,GORKHA,No station found in dataset,
2019,28,GULMI,Tamghas,
2019,28,HUMLA,"Simikot, Simikot Airport",
2019,28,ILAM,"Ilam Tea Estate, Ilam Tea State_AWS",
2019,28,JAJARKOT,"Jajarkot, Jajarkot_AWS",
2019,28,JHAPA,Gaida (Kankai),1.0
2019,28,JUMLA,Jumla,
2019,28,KAILALI,Tikapur,
2019,28,KALIKOT,"Manma, Manma_AWS",
2019,28,KANCHANPUR,Mahendra Nagar,
2019,28,KAPILBASTU,No station found in dataset,
2019,28,KASKI,Pokhara Airport,
2019,28,KATHMANDU,"Bagmati River at Sundarijal, Bagmati River at Sundarijal Bridge, Kathmandu Airport",3.0
2019,28,KAVREPALANCHOK,No station found in dataset,
2019,28,KHOTANG,Diktel,
2019,28,LALITPUR,Khumaltar,
2019,28,LAMJUNG,Khudi Bazar,
2019,28,MAHOTTARI,Jalesor,
2019,28,MAKWANPUR,Hetauda N.F.I.,
2019,28,MANANG,Manang Bhot,
2019,28,MORANG,Biratnagar Airport,
2019,28,MUGU,Gamadi Shree Nagar,
2019,28,MUSTANG,"Jomsom, Jomsom TPB",
2019,28,MYAGDI,"Gurja Khani, Raughat Khola at Raughat",
2019,28,NUWAKOT,Nuwakot,
2019,28,OKHALDHUNGA,Okhaldhunga,
2019,28,PALPA,Tansen,
2019,28,PANCHTHAR,Phidim (Panchther),
2019,28,PARBAT,"Kali Gandaki at Modi Beni, Kushma",
2019,28,PARSA,Birganj,
2019,28,PYUTHAN,"Bijuwar Tar, Bijuwatar",
2019,28,RAMECHHAP,Manthali,
2019,28,RASUWA,Dhunche,
2019,28,ROLPA,"Libang Gaun, Liwang",
2019,28,RUPANDEHI,Bhairahawa Airport,
2019,28,SALYAN,"Salyan Bazaar_AWS, Salyan Bazar",
2019,28,SANKHUWASABHA,Num,
2019,28,SAPTARI,Rajbiraj,
2019,28,SARLAHI,Karmaiya,
2019,28,SINDHULI,Sindhuli Madhi,
2019,28,SINDHUPALCHOK,No station found in dataset,
2019,28,SIRAHA,Lahan,
2019,28,SOLUKHUMBU,No station found in dataset,
2019,28,SUNSARI,Tarahara,
2019,28,SURKHET,Surkhet Airport (Birendranagar),
2019,28,SYANGJA,Syangja,
2019,28,TANAHU,Bandipur,
2019,28,TAPLEJUNG,Taplejung,
2019,28,TERHATHUM,Terhathum,
2019,28,UDAYAPUR,Udayapur Gadhi,
2019,28,WEST,No station found in dataset,
2019,28,WEST,No station found in dataset,
2019,28,,No station found in dataset,
2019,29,ACHHAM,Mangalsen,
2019,29,ARGHAKHANCHI,No station found in dataset,
2019,29,BAGLUNG,Baglung,
2019,29,BAITADI,Patan new,
2019,29,BAJHANG,Chainpur Bajhang new aws,
2019,29,BAJURA,Bajura (Martadi),
2019,29,BANKE,Khajura (Nepalganj),
2019,29,BARA,Simara Airport,
2019,29,BARDIYA,Gulariya,
2019,29,BHAKTAPUR,Bhaktapur,
2019,29,BHOJPUR,No station found in dataset,
2019,29,CHITAWAN,No station found in dataset,
2019,29,DADELDHURA,"Dadeldhura, Dadeldhura_AWS",
2019,29,DAILEKH,Dailekh,
2019,29,DANG,Ghorai (Dang),
2019,29,DARCHULA,"Darchula New, Mahakali at Darchula (Dattu)",1.0
2019,29,DHADING,"Dhunibesi, Dhunibesi_delete",
2019,29,DHANKUTA,No station found in dataset,
2019,29,DHANUSA,No station found in dataset,
2019,29,DOLAKHA,Charikot,
2019,29,DOLPA,Dunai,
2019,29,DOTI,Dipayal (Doti),
2019,29,EAST,No station found in dataset,
2019,29,EAST,No station found in dataset,
2019,29,GORKHA,No station found in dataset,
2019,29,GULMI,Tamghas,
2019,29,HUMLA,"Simikot, Simikot Airport",
2019,29,ILAM,"Ilam Tea Estate, Ilam Tea State_AWS",
